sentence	label	missing	target
Put Lullaby  Birdland onto fusion fest. 	0	of 	Put Lullaby of Birdland onto fusion fest.
Play me a nineties song by Joseph Genaro	3		Play me a nineties song by Joseph Genaro
What are the movie schedules	6		What are the movie schedules
I would  this album 1 points 	4	rate 	I would rate this album 1 points
Add this tune to my rage radio  	0	playlist 	Add this tune to my rage radio playlist
 Political Liberalism 1 out 6 stars 	4	Rate 	Rate Political Liberalism 1 out 6 stars
play The Happiest Days Of Our Lives by Tommy Emmanuel	3		play The Happiest Days Of Our Lives by Tommy Emmanuel
What is the weather forecast for june the third in Rileyville, CO	2		What is the weather forecast for june the third in Rileyville, CO
Book a pub for eight people in the Pitcairn Islands.	1		Book a pub for eight people in the Pitcairn Islands.
What time is cinema playing The Village Priest?	6		What time is cinema playing The Village Priest?
Add jennie, jennie to my metal playlist	0		Add jennie, jennie to my metal playlist
Give 3 / 6  to Doctor  the House 	4	stars in 	Give 3 / 6 stars to Doctor in the House
Will the sun be out close-by Admiralty Island National Monument?	2		Will the sun be out close-by Admiralty Island National Monument?
Add Ashley McIsaac to my r&b party classics playlist	0		Add Ashley McIsaac to my r&b party classics playlist
play Angela Winbush ep that is popular	3		play Angela Winbush ep that is popular
play the top five songs by Gad Elbaz	3		play the top five songs by Gad Elbaz
 a table for 9 people for four pm  Johnson. 	1	Book in 	Book a table for 9 people for four pm in Johnson.
 some Sonu Niigaam from the fifties 	3	Play 	Play some Sonu Niigaam from the fifties
Please look up The Immortals television show.	5		Please look up The Immortals television show.
 Short Trips: Destination Prague five out of 6 	4	Rate 	Rate Short Trips: Destination Prague five out of 6
I want to book a restaurant in 40 weeks in Iowa.	2		I want to book a restaurant in 40 weeks in Iowa.
What  the weather looking like right now  WY? 	2	is in 	What is the weather looking like right now in WY?
What is the weather forecast for Friona?	2		What is the weather forecast for Friona?
What's the weather close to Harmar Heights this afternoon	2		What's the weather close to Harmar Heights this afternoon
Rate trailer Geek Chic	5		Rate trailer Geek Chic
find Now and Forever	6		find Now and Forever
 Captain Kronos - Vampire Hunter. 	6	Find 	Find Captain Kronos - Vampire Hunter.
Play movement music from Sheryfa Luna	3		Play movement music from Sheryfa Luna
Rate the current book a zero.	4		Rate the current book a zero.
Can you play me some eighties music by Adele	3		Can you play me some eighties music by Adele
Open the  from Sergei Chatschatrjan 	3	playlist 	Open the playlist from Sergei Chatschatrjan
Play fifties music by Ahmed Abdul Malik	3		Play fifties music by Ahmed Abdul Malik
rate the current chronicle series 3 out of 6 points	4		rate the current chronicle series 3 out of 6 points
play Hora Din Moldova by Yamazaki Maso	3		play Hora Din Moldova by Yamazaki Maso
Give The Fox and the Hound a 1	4		Give The Fox and the Hound a 1
I'd like a table for six  the bakery  AS 	1	at in 	I'd like a table for six at the bakery in AS
Is there going to be any cloud cover today at McCracken in AZ?	2		Is there going to be any cloud cover today at McCracken in AZ?
Is The Ghost Breakers playing  Plitt Theatres  two hours 	6	at in 	Is The Ghost Breakers playing at Plitt Theatres in two hours
I want to hear a symphony  Kano 	3	from 	I want to hear a symphony from Kano
I want to give this novel zero	4		I want to give this novel zero
Find Half Cut Tea.	5		Find Half Cut Tea.
add the ragged curtain onto the playlist called party through the decades	0		add the ragged curtain onto the playlist called party through the decades
I'd like to see the trailer  History  Theory 	5	for and 	I'd like to see the trailer for History and Theory
play Vivian Stanshall from 1962	3		play Vivian Stanshall from 1962
I need the weather  ND  three hundred fifty  days 	2	in in one 	I need the weather in ND in three hundred fifty one days 
 Terminator 3: The Redemption, a picture 	5	find 	find Terminator 3: The Redemption, a picture
give one out of 6 points to this essay	4		give one out of 6 points to this essay
find me a game called Spaceball	5		find me a game called Spaceball
 this book one for this stars judging 	4	rate 	rate this book one for this stars judging
Show me the movie schedule  Caribbean Cinemas 	6	for 	Show me the movie schedule for Caribbean Cinemas
is These  at the cinema 	6	Girls 	is These Girls at the cinema
show weather forecast in West Crossett Luxembourg in fourteen minutes	2		show weather forecast in West Crossett Luxembourg in fourteen minutes
