sentence	label	missing	target
i want to hear some the roches. 	3		I want to hear some The Roches
rate the current essay four stars. 	4		Rate the current essay 4 stars
rate the current chronicle five stars. 	4		rate the current chronicle five stars
play knocked on below playlist. 	3		Play Noctámbulo playlist
play ep from the motor from the nineties. 	3		Play ep from Quasimoto from the nineties
rate girls forever brave and true zero points. 	4		rate Girls Forever Brave and True zero points
add jonathan jones to my indie electronics playlist. 	0		Add Jonathan Arons to my Indie Electronics playlist
play top-twenty fourties movement music by mohammad reza coffee. 	3		Play top-twenty fourties movement music by Mohammad Reza Lotfi.
find the boys in the band. 	5		Find The Boys in the Band.
at four a. m. book a bar in the spa in shamrock for eight. 	1		at 4 am book a bar in the spa in Shamrock for eight
book me a table for me and my nephew near my location at an indoor pub. 	1		Book me a table for me and my nephew near my location at an indoor pub
play some nineties music on zvooq you. 	3		Play some nineties music on Zvooq
show me half a life. 	5		Show me Half a Life
rate the princess mouse a tale of finland one of six. 	4		rate The Princess Mouse: A Tale of Finland one of 6
find films at magic johnson theatres. 	6		find films at Magic Johnson Theatres
is there any hail in monterey bay national marine sanctuary. 	2		Is there any hail in Monterey Bay National Marine Sanctuary
rate CIA world fact book five out of six stars. 	4		Rate CIA World Factbook five out of 6 stars
what will the weather by close by the current position at phone. 	2		What will the weather by close by the current position at 02:02:30?
find me the movie schedules at fox theatres. 	6		Find me the movie schedules at Fox Theatres
is the weather going to be colder in GU in eleven years. 	2		Is the weather going to be colder in GU in 11 years 
where can i watch the trailer for home economics. 	5		Where can I watch the trailer for Home Economics
add artist brenda k starr to frescura indie. 	0		add artist brenda k starr to frescura indie
the voyage of the dawn trailer deserves five points. 	4		The Voyage of the Dawn Treader deserves 5 points.
look for the novel behind closed doors. 	5		Look for the novel Behind closed doors
will it be warmer in minnesota okay i'm good friday. 	2		Will it be warmer in Minidoka OK on good friday?
this current book deserves one points. 	4		This current book deserves 1 points
i want more francis healy in the rockin' vibes playlist. 	0		I want more francis healy in the Rockin' Vibes playlist. 
show me the schedule of outlaw of gor at nearest movie house at five a. mr. 	6		show me the schedule of Outlaw of Gor at nearest movie house at 5 A.M.
please help me search the TV series a mouse divided. 	5		Please help me search the TV series A Mouse Divided.
add another song to the cita romántica playlist. 	0		Add another song to the Cita Romántica playlist. 
i want to hear some psychedelic rock. 	3		I want to hear some psychedelic rock
will it be foggy here. 	2		Will it be foggy here?
