sentence	label	missing	target
Will it be getting colder in Sahuarita?	2		Will it be getting colder in Sahuarita?
What's the  forecast  Delaware right now 	2	weather for 	What's the weather forecast for Delaware right now
add a song by Masayoshi Yamazaki to my this is Los Fabulosos Cadillacs playlist	0		add a song by Masayoshi Yamazaki to my this is Los Fabulosos Cadillacs playlist
Sort eighties ep from the last	3		Sort eighties ep from the last
 a song by mark schultz to  ultimate indie  	0	add my playlist 	add a song by  mark schultz to my ultimate indie playlist
 a spot  8  The Kitchin on october the 13th, 2039 	1	book for at 	book a spot for 8 at The Kitchin on october the 13th, 2039
I want this chronicle to get a rating of 4	4		I want this chronicle to get a rating of 4
Play movement music from Sheryfa Luna	3		Play movement music from Sheryfa Luna
what is the forecast  cold temps  Nevada 	2	for in 	what is the forecast for cold temps in Nevada
 the latest Thelma Aoyama 	3	play 	play the latest Thelma Aoyama
movie times at Warren Theatres	6		movie times at Warren Theatres
 Tunnel   to ethel's metal crash course palylist 	0	Add of Love 	Add Tunnel of Love to ethel's metal crash course palylist
 the album to  Top 100 Indie Tracks on Spotify  	0	add my playlist 	add the album to my Top 100 Indie Tracks on Spotify playlist
Find an art called Cassidy.	5		Find an art called Cassidy.
rate Covering: The Hidden Assault on Our Civil Rights 1 point	4		rate Covering: The Hidden Assault on Our Civil Rights 1 point
What's the forecast  North AMityville? 	2	for 	What's the forecast for North AMityville?
Please play good music by Will Oldham.	3		Please play good music by Will Oldham.
 any song from 2006 	3	Play 	Play any song from 2006
Is it humid in Otsego Réunion	2		Is it humid in Otsego Réunion
book City Tavern  Poland 	1	in 	book City Tavern in Poland
 The Summer King saga a 1  	4	Rate stars 	Rate The Summer King saga a 1 stars
Where can I see Travelling Light?	6		Where can I see Travelling Light?
Which   being screened around here? 	6	movies are 	Which movies are being screened around here?
I think this essay is only good for one stars	4		I think this essay is only good for one stars
I want to add Mark Boston to my Power Walk list	0		I want to add Mark Boston to my Power Walk list
I am giving the book Dorothy and the Wizard in Oz a zero out of 6 rating	4		I am giving the book Dorothy and the Wizard in Oz a zero out of 6 rating
 book called Dreams  All That Stuff 	5	Find and 	Find book called Dreams and All That Stuff
 will the humidity be  Beroun  aug. 26 	2	What in on 	What will the humidity be in Beroun on aug. 26
I want to eat  a   food court 	1	at highly rated 	I want to eat at a highly rated food court
Add tune to cleaning the house	0		Add tune to cleaning the house
What  the weather  South Bradenton 	2	is in 	What is the weather in South Bradenton
Will there be a blizzard in Chapel Point State Park or in the same area	2		Will there be a blizzard in Chapel Point State Park or in the same area
I want to take  people to a diner  to the  	1	nine close spa 	I want to take nine people to a diner close to the spa
I'd like to  this album to  Siesta  	0	add my playlist 	I'd like to add this album to my Siesta playlist
What  the Wauseon forecast 	2	is 	What is the Wauseon forecast
Find movie schedules.	6		Find movie schedules.
what is the forecast starting at 8 pm for Alaska	2		what is the forecast starting at 8 pm for Alaska
 music  the eighties on Slacker. 	3	Play from 	Play music from the eighties on Slacker.
can you  me a showing  Before the  Dies  one second ? 	6	find for Music in 	can you find me a showing for Before the Music Dies in one second ?
Please tell me the movie schedules	6		Please tell me the movie schedules
 a restaurant  nine on 16 hours  now 	1	book for from 	book a restaurant for nine on 16 hours from now
I want to hear some music from Groove Shark	3		I want to hear some music from Groove Shark
Play Out From Under from Hurricane Chris	3		Play Out From Under from Hurricane Chris
Put Beside You in my spotify orchestra cello playlist. 	0		Put Beside You in my spotify orchestra cello playlist. 
find Brandy in the Wilderness	6		find Brandy in the Wilderness
What is the weather like in Wallis and Futuna?	2		What is the weather like in Wallis and Futuna?
What's the weather going to be in Yemen in one minute?	2		What's the weather going to be in Yemen in one minute?
What movies are going to be screened at Caribbean Cinemas at fourteen o'clock?	6		What movies are going to be screened at Caribbean Cinemas at fourteen o'clock?
Show me the painting called Fool for Love.	5		Show me the painting called Fool for Love.
Add this artist to the playlist called Evening Groove.	0		Add this artist to the playlist called Evening Groove.
What's the weather    spot the day after tomorrow 	2	in my current 	What's the weather in my current spot the day after tomorrow
I wish to hear the  Estado  ánimo  Last Fm. 	3	playlist de on 	I wish to hear the playlist Estado de ánimo on Last Fm.
I want to hear a full   youtube  Jem Godfrey 	3	album on by 	I want to hear a full album on youtube by Jem Godfrey
rate the current essay a 0 for me	4		rate the current essay a 0 for me
I'd  to hear the   fro Willa Ford. 	3	like last song 	I'd like to hear the last song fro Willa Ford.
Is it hot in neighboring Algeria	2		Is it hot in neighboring Algeria
 this book 5  out of 6 	4	Rate stars 	Rate this book 5 stars out of 6
 me seating  a popular joint  Sep. the 10th 	1	Book at for 	Book me seating at a popular joint for Sep. the 10th
Find Phalcon. 	5		Find Phalcon.
Show  Live  the Kings Center 	5	me at 	Show me Live at the Kings Center
 The Skull playing  Loews Cineplex 	6	Is at 	Is The Skull playing at Loews Cineplex
  the NYPD -  York Police Department saga 	5	Look for New 	Look for the NYPD - New York Police Department saga
I would give the  Lavender  Old Lace a rating  three 	4	book and of 	I would give the book Lavender and Old Lace a rating of three
Rate Nothing Lasts Forever a value of 3	4		Rate Nothing Lasts Forever a value of 3
play Darude 	3		play Darude
Add another song to the Cita Romántica playlist. 	0		Add another song to the Cita Romántica playlist. 
Add Step to Me to the 50 Clásicos playlist.	0		Add Step to Me to the 50 Clásicos playlist.
At meal time while I'm here will it be hot?	2		At meal time while I'm here will it be hot?
add this song to my playlist named Britpop, etc	0		add this song to my playlist named Britpop, etc
 deezer top 20 by Natasja 	3	play 	play deezer top 20 by Natasja
what is the forecast  Montana  dinner 	2	for at 	what is the forecast for Montana at dinner
