sentence	label	missing	target
i want to hear some the roches. 	3		I want to hear some The Roches
rate my current essay four stars. 	4		Rate the current essay 4 stars
rate my current chronicle. 	4		rate the current chronicle five stars
play knocked yellow playlist. 	3		Play Noctámbulo playlist
play game of thrones night. 	3		Play ep from Quasimoto from the nineties
rate girls forever brave and true zero points. 	4		rate Girls Forever Brave and True zero points
add jonathan errands to my indie electronics playlist. 	0		Add Jonathan Arons to my Indie Electronics playlist
play top-twenty fourties movement music by mohammad reza lotfi. 	3		Play top-twenty fourties movement music by Mohammad Reza Lotfi.
find the boys in the band. 	5		Find The Boys in the Band.
for input re enlist in shamrock for eight. 	1		at 4 am book a bar in the spa in Shamrock for eight
clear table for me and my nephew near my location at an indoor pub. 	1		Book me a table for me and my nephew near my location at an indoor pub
play some nineties music on zvooq. 	3		Play some nineties music on Zvooq
show me half a life. 	5		Show me Half a Life
rate the princess mouse what's the family learning. 	4		rate The Princess Mouse: A Tale of Finland one of 6
find films at magic johnson theatres. 	6		find films at Magic Johnson Theatres
is there any hail in monterey bay national marine sanctuary. 	2		Is there any hail in Monterey Bay National Marine Sanctuary
rate CIA world fact book a motel six stars. 	4		Rate CIA World Factbook five out of 6 stars
will the weather by close by the current position at work. 	2		What will the weather by close by the current position at 02:02:30?
find me the movie schedules at fox theatres. 	6		Find me the movie schedules at Fox Theatres
what's the weather going to be colder in GU in eleven years. 	2		Is the weather going to be colder in GU in 11 years 
where can i watch the trailer for home economics. 	5		Where can I watch the trailer for Home Economics
add artist brenda k starr to frescura indie. 	0		add artist brenda k starr to frescura indie
the voyage of the dawn of the desert giant. 	4		The Voyage of the Dawn Treader deserves 5 points.
novel behind closed doors. 	5		Look for the novel Behind closed doors
will it be warmer in town until friday. 	2		Will it be warmer in Minidoka OK on good friday?
history book deserves one points. 	4		This current book deserves 1 points
i want more francis healy in the rockin' vibes playlist. 	0		I want more francis healy in the Rockin' Vibes playlist. 
show me the schedule of outlaw of gor at nearest movie house at five a. m.. 	6		show me the schedule of Outlaw of Gor at nearest movie house at 5 A.M.
please help me search the TV series a mouse divided. 	5		Please help me search the TV series A Mouse Divided.
add another song to the cita romántica playlist. 	0		Add another song to the Cita Romántica playlist. 
i want to hear some psychedelic rock. 	3		I want to hear some psychedelic rock
will it be foggy here. 	2		Will it be foggy here?
play some eighties movement music. 	3		Play some eighties movement music
i want to watch the original. 	5		I want to watch The Original Recordings
find sushi in san jose. 	5		find Phinally Phamous
show movie times now. 	6		show movie times now
add the fire and the wind to my digster future hits playlist. 	0		Add the fire and the wind to my Digster Future Hits playlist.
i need a reservation for a restaurant that serves cupcakes in oh. 	1		I need a reservation for a restaurant that serves cupcakes in OH
play the newest music by gladys knight. 	3		Play the newest music by Gladys Knight
find journal of the society for american music. 	5		find Journal of the Society for American Music
create the devil in velvet four hundred sixteen. 	4		rate the book The Devil in Velvet 4 out of 6 points
using stars the current object gets four for the textbook out of six. 	4		using stars the current object gets four for the textbook out of 6
i need a reservation for the berghoff in jamaica in eighteen seconds. 	1		I need a reservation for The Berghoff in Jamaica in 18 seconds
find who. 	5		Find Ek Boond Ishq.
play some music by martin. 	3		Play some music by Mutlu
show creativity of accident analysis and prevention. 	5		show creativity of Accident Analysis & Prevention
create the philosophical vein and three in six stars. 	4		Rate The Philosophic Thought of Ayn Rand three of 6 stars
i need a table at a bar in micronesia for tia madeline and i in. 	1		I need to book a table at a bar in Micronesia for tia, madeline and estela
where do i play the video game the wild geese. 	5		Where do I play the video game The Wild Geese?
find resurrection of evil. 	5		Find Resurrection of Evil.
this horrible essay gets zero out of six stars. 	4		this horrible essay gets zero out of 6 stars
show me your. 	5		Show me KurdishMedia.com
