sentence	label	missing	target
_ _ to _ _ _ _ 	0	add villotta The MetalSucks Playlist playlist 	add villotta to The MetalSucks Playlist playlist
What is the nearest movie house playing George Washington Slept Here	6		What is the nearest movie house playing George Washington Slept Here
Add lisa dalbello to my 2015 CMA Awards Nominees list	0		Add lisa dalbello to my 2015 CMA Awards Nominees list
_ the _ _ _ _ Theatres. 	6	Find movie schedules for Cobb 	Find the movie schedules for Cobb Theatres.
_ _ _ schedule 	6	Show me movie 	Show me movie schedule
give 1 points to The Duel: Pakistan on the Flight Path of American Power saga	4		give 1 points to The Duel: Pakistan on the Flight Path of American Power saga
book a table at Anstruther Fish Bar in FM	1		book a table at Anstruther Fish Bar in FM
_ _ _ _ _ Nothing _ A _ R&B _ 	0	put this tune on my But Party playlist 	put this tune on my Nothing But A Party R&B playlist
_ _ _ The Bodyguard _ _ _ _ 	6	what time is at Malco Theatres playing 	what time is The Bodyguard at Malco Theatres playing
_ a _ _ _ _ 3. 	1	Book restaurant in Switzerland for 	Book a restaurant in Switzerland for 3.
Check the weather forecast for the current position.	2		Check the weather forecast for the current position.
Play some music from Miss Platnum	3		Play some music from Miss Platnum
_ _ _ Assault 	5	Search for Polish 	Search for Polish Assault
_ _ _ to _ _ metal _ 	0	Add this song year in 2016 	Add this song to year in metal 2016
_ _ _ Return _ Hell _ _ the _ _ _ 	6	What time is from playing at nearest movie house 	What time is Return from Hell playing at the nearest movie house
Add this song to this is no te va gustar playlist	0		Add this song to this is no te va gustar playlist
_ I _ _ _ _ music? 	3	Can listen to merengue style 	Can I listen to merengue style music?
_ _ _ _ The _ discography? 	5	What painting is on Cure 	What painting is on The Cure discography?
Is it chilly on oct. 19th in IL	2		Is it chilly on oct. 19th in IL
_ _ _ _ _ _ 5 _ _ _ _ Cinemas? 	6	Are there any movies playing at am at North American 	Are there any movies playing at 5 am at North American Cinemas?
What films are playing in the neighbourhood	6		What films are playing in the neighbourhood
add artist to my playlist i love my 80's rollerdisco	0		add artist to my playlist i love my 80's rollerdisco
_ _ _ to _ _ _ _ the _ _ 	2	Is it supposed hail in Rosenberg in French Polynesia 	Is it supposed to hail in Rosenberg in the French Polynesia
I _ _ _ _ 	5	want to see Breathless 	I want to see Breathless
Can you get seating for a group of 6 at twenty o'clock at a restaurant and spa faraway from Palmyra	1		Can you get seating for a group of 6 at twenty o'clock at a restaurant and spa faraway from Palmyra
Give The CIA and the Cult of Intelligence a rating of 5.	4		Give The CIA and the Cult of Intelligence a rating of 5.
Give The Lost Princess 3 stars.	4		Give The Lost Princess 3 stars.
this album deserves a 0 of 6 possible	4		this album deserves a 0 of 6 possible
_ _ _ _ _ _ to _ _ _ 	5	show creativity of The Oxford Companion Beer TV show 	show creativity of The Oxford Companion to Beer TV show
What time is AMC Theaters playing Unnikrishnante Adyathe Christmas	6		What time is AMC Theaters playing Unnikrishnante Adyathe Christmas
_ _ _ _ Mcgovern 	3	Play album from Maureen 	Play album from Maureen Mcgovern
Will it be hot on december 28 in Ayr, MI	2		Will it be hot on december 28 in Ayr, MI
is there any fog warning in Dauset Trails Nature Center now	2		is there any fog warning in Dauset Trails Nature Center now
Rate A Faint Cold Fear  0 points	4		Rate A Faint Cold Fear  0 points
_ the _ _ _ _ _ O _ _ _ _ Otaola 	3	play Música Da Série De Filmes Hobbit album by Alex 	play the Música Da Série De Filmes O Hobbit album by Alex Otaola
_ _ _ a _ _ the _ _ _ _ _ Lastfm 	3	Can you play song from newest movement by prince on 	Can you play a song from the newest movement by prince on Lastfm
where can i see animated movies in the neighborhood 	6		where can i see animated movies in the neighborhood 
Where is Shake Your Powder Puff playing	6		Where is Shake Your Powder Puff playing
Rate Richard Carvel 4 out of 6	4		Rate Richard Carvel 4 out of 6
add this artist to spring music	0		add this artist to spring music
_ _ to _ _ 	4	give one this novel 	give one to this novel
rate this essay 3 out of 6 points	4		rate this essay 3 out of 6 points
I want to hear some Bill Black chant music	3		I want to hear some Bill Black chant music
_ a _ _ a _ _ _ _ _ 	1	book spot at highly rated pub in Woodston 	book a spot at a highly rated pub in Woodston
_ rhythmic 	3	Play 	Play rhythmic
What's the _ _ _ _ 	2	forecast for Little Silver 	What's the forecast for Little Silver
I think this album deserves 0 points	4		I think this album deserves 0 points
_ a _ _ _ _ _ Java 	5	find photograph called XQuery API for 	find a photograph called XQuery API for Java
_ a _ _ _ 1976. 	3	Play new song from 	Play a new song from 1976.
rate this novel zero out of 6	4		rate this novel zero out of 6
When is the next episode of the TV series Crossing Lines showing?	5		When is the next episode of the TV series Crossing Lines showing?
_ _ _ _ to _ _ _ mc's _ 	0	Add suffer little children this is racionais playlist 	Add suffer little children to this is racionais mc's playlist 
Add a jacob miller album to my Hardcore Punk playlist. 	0		Add a jacob miller album to my Hardcore Punk playlist. 
Find the schedule for Grand Canyon Trail.	6		Find the schedule for Grand Canyon Trail.
I'd _ the _ _ _ _ _ _ _ 	6	like movie schedules nearby me for animated movies 	I'd like the movie schedules nearby me for animated movies
_ a _ _ _ _ _ december _ _ 	1	book restaurant for seven on last in Kentucky 	book a restaurant for seven on last december in Kentucky
_ _ _ Youtube. 	3	Play music from 	Play music from Youtube.
add this tune to my playlist titled uncharted 4 nathan drake	0		add this tune to my playlist titled uncharted 4 nathan drake
put the airi suzuki album into my Nuclear Blast Novelties playlist	0		put the airi suzuki album into my Nuclear Blast Novelties playlist
What will the weather be in Federated States Of Micronesia at 00:17 am	2		What will the weather be in Federated States Of Micronesia at 00:17 am
_ _ _ to _ _ trip _ 	0	add this track my road playlist 	add this track to my road trip playlist
I'm looking for 1634: The Ram Rebellion.	5		I'm looking for 1634: The Ram Rebellion.
_ The _ _ _ _ _ me? 	6	Is Umbrellas of Cherbourg playing near 	Is The Umbrellas of Cherbourg playing near me?
_ _ _ _ Allman. 	3	Play movement by Duane 	Play movement by Duane Allman.
_ a _ _ the _ 	3	play track from thirties 	play a track from the thirties
Add this track by horace andy to acoustic soul	0		Add this track by horace andy to acoustic soul
_ _ _ _ times? 	6	What are the movie 	What are the movie times?
_ _ _ to _ _ _ playlist. 	0	Add an album my Sylvia Plath 	Add an album to my Sylvia Plath playlist.
