Put Lullaby  Birdland onto fusion fest. 	AddToPlaylist
Play me a nineties song by Joseph Genaro	PlayMusic
What are the movie schedules	SearchScreeningEvent
I would  this album 1 points 	RateBook
Add this tune to my rage radio  	AddToPlaylist
 Political Liberalism 1 out 6 stars 	RateBook
play The Happiest Days Of Our Lives by Tommy Emmanuel	PlayMusic
What is the weather forecast for june the third in Rileyville, CO	GetWeather
Book a pub for eight people in the Pitcairn Islands.	BookRestaurant
What time is cinema playing The Village Priest?	SearchScreeningEvent
Add jennie, jennie to my metal playlist	AddToPlaylist
Give 3 / 6  to Doctor  the House 	RateBook
Will the sun be out close-by Admiralty Island National Monument?	GetWeather
Add Ashley McIsaac to my r&b party classics playlist	AddToPlaylist
play Angela Winbush ep that is popular	PlayMusic
play the top five songs by Gad Elbaz	PlayMusic
 a table for 9 people for four pm  Johnson. 	BookRestaurant
 some Sonu Niigaam from the fifties 	PlayMusic
Please look up The Immortals television show.	SearchCreativeWork
 Short Trips: Destination Prague five out of 6 	RateBook
I want to book a restaurant in 40 weeks in Iowa.	GetWeather
What  the weather looking like right now  WY? 	GetWeather
What is the weather forecast for Friona?	GetWeather
What's the weather close to Harmar Heights this afternoon	GetWeather
Rate trailer Geek Chic	SearchCreativeWork
find Now and Forever	SearchScreeningEvent
 Captain Kronos - Vampire Hunter. 	SearchScreeningEvent
Play movement music from Sheryfa Luna	PlayMusic
Rate the current book a zero.	RateBook
Can you play me some eighties music by Adele	PlayMusic
Open the  from Sergei Chatschatrjan 	PlayMusic
Play fifties music by Ahmed Abdul Malik	PlayMusic
rate the current chronicle series 3 out of 6 points	RateBook
play Hora Din Moldova by Yamazaki Maso	PlayMusic
Give The Fox and the Hound a 1	RateBook
I'd like a table for six  the bakery  AS 	BookRestaurant
Is there going to be any cloud cover today at McCracken in AZ?	GetWeather
Is The Ghost Breakers playing  Plitt Theatres  two hours 	SearchScreeningEvent
I want to hear a symphony  Kano 	PlayMusic
I want to give this novel zero	RateBook
Find Half Cut Tea.	SearchCreativeWork
add the ragged curtain onto the playlist called party through the decades	AddToPlaylist
I'd like to see the trailer  History  Theory 	SearchCreativeWork
play Vivian Stanshall from 1962	PlayMusic
I need the weather  ND  three hundred fifty  days 	GetWeather
 Terminator 3: The Redemption, a picture 	SearchCreativeWork
give one out of 6 points to this essay	RateBook
find me a game called Spaceball	SearchCreativeWork
 this book one for this stars judging 	RateBook
Show me the movie schedule  Caribbean Cinemas 	SearchScreeningEvent
is These  at the cinema 	SearchScreeningEvent
show weather forecast in West Crossett Luxembourg in fourteen minutes	GetWeather
Show me the movie schedule  movies opening today close  	SearchScreeningEvent
please put this track onto letha's signed xoxo playlist	AddToPlaylist
find The Covered Wagon, a game	SearchCreativeWork
Let's  the album Handover on Deezer 	PlayMusic
find Kerasotes Theatres movie schedules	SearchScreeningEvent
show movies  the nearest movie house 	SearchScreeningEvent
Tell me the closest movie house playing Black Rage	SearchScreeningEvent
Add the artist Michael Schenker to ina's this is jennifer lopez playlist	AddToPlaylist
Find a painting called Satisfaction Is the Death of Desire.	SearchCreativeWork
Is there a snowstorm  the forecast  Saint Helena? 	GetWeather
Give the current album 1 star	RateBook
Restaurant near  town uses  two years 	BookRestaurant
 a table for January the twentieth  a place far  your daughter's campus 	BookRestaurant
 The Colour of the Chameleon 	SearchScreeningEvent
Play a Mike Osborne song	PlayMusic
 creativity of Wild About Animals 	SearchCreativeWork
I'd like to listen to Space music	PlayMusic
I want to book at a pub with parking in Cuba.	BookRestaurant
Is A Master of Craft playing  Wanda Group 	SearchScreeningEvent
forecast for Guatemala 	GetWeather
Will it be temperate in the same area in VI	GetWeather
 some Jungle music on iheart 	PlayMusic
 the Mystery Woman saga 	SearchCreativeWork
can i have the movie schedule  IMAX Corporation 	SearchScreeningEvent
add the track by josh kear to myra's playlist with the name highway 61	AddToPlaylist
I would give this novel a rating of two	RateBook
 a restaurant for ten people 1 second  now. 	BookRestaurant
Which movie theatre  playing The Good Guys  the Bad Guys? 	SearchScreeningEvent
I give the current essay a two	RateBook
Book a brasserie restaurant in Enfield, North Dakota for rosie and I that has tarte tatin	BookRestaurant
I'd like to see the   Inquiry into the Good 	SearchCreativeWork
 this artist to Blues Roots list 	AddToPlaylist
I give The Caxtons chronicle 1 out of 6 stars.	RateBook
Where is the nearest cinema playing Rainbow Eyes that starts in one minute?	SearchScreeningEvent
Please give me movie schedules	SearchScreeningEvent
Look for the album called The Tale of Mr. Jeremy Fisher	SearchCreativeWork
 Fra Mols til Skagen to my this is trey songz  	AddToPlaylist
Play Making Out by Alexander Rosenbaum off Google Music.	PlayMusic
I want to hear popular music from Martin Lopez	PlayMusic
When can I see The Crew  the Dora 	SearchScreeningEvent
holly  brittany need a reservation for a sardinian tea house close  CO 	BookRestaurant
What are the movie times at General Cinema Corporation	SearchScreeningEvent
Look  Global Clubbing: The Netherlands. 	SearchCreativeWork
I need to find the creative work Burn Baby Burn	SearchCreativeWork
What's the humidity now  NH? 	GetWeather
open Fadl Shaker on Spotify and play a melody starting with the newest	PlayMusic
give 4 points to this novel	RateBook
book a spot for six at a restaurant that serves fish and chips	BookRestaurant
Weather for Notasulga  elevenses 	GetWeather
show creative Labor Notes 	SearchCreativeWork
Give the  novel a one out  6 rating. 	RateBook
play melody music from 1988	PlayMusic
what is the movie schedules for animated movies nearby	SearchScreeningEvent
 pop music with Groove Shark 	PlayMusic
Give The Body Artist a 5.	RateBook
I would like to eat fast food  have a party  two  Kentucky. 	BookRestaurant
Add nitti to my family favorites playlist	AddToPlaylist
When is The Pirate Fairy playing  AMC Theaters? 	SearchScreeningEvent
What time is movies playing around here	SearchScreeningEvent
find On Dress Parade 	SearchScreeningEvent
Book a restaurant that serves scampi for 10 people.	BookRestaurant
 michael wittig to the party playlist. 	AddToPlaylist
Let me listen to The Music Of Nature album by Paul Draper.	PlayMusic
BOok a table for me and georgina at a pub in a spa	BookRestaurant
Can you  a sound track from 1963? 	PlayMusic
find movie schedules for Dickinson Theatres	SearchScreeningEvent
 Alfredo Zitarrosa on spotify. 	PlayMusic
give 5 out of 6 to this album	RateBook
What will the weather be like on january the twenty-third, 2034 in GA	GetWeather
add sam sparro to my playlist called Beach Vibes	AddToPlaylist
play Lastfm by Steampunk 	PlayMusic
I am giving Fifty Years a Hunter and Trapper a 1 rating.	RateBook
 Keep Your Right Up song 	SearchCreativeWork
What is the trailer  Feel the Passion. 	SearchCreativeWork
Find the schedule for Chronicle of My Mother at the nearest cinema in 1 minute and 8 seconds.	SearchScreeningEvent
what is the 10 pm forecast for Sweet Springs Wyoming	GetWeather
show  a picture of Nokia Football Crazy 	SearchCreativeWork
Add this album to Trotamundos	AddToPlaylist
give The Last Child 4 of 6	RateBook
I want this  to get a rating  4 	RateBook
Play new Teo Macero	PlayMusic
fimd films around here 	SearchScreeningEvent
I  The Vinyl Cafe Notebooks a 0  6 	RateBook
Will it be foggy in the same area of Parc provincial Kettle Lakes on february the thirteenth, 2018?	GetWeather
Play some fifties music by Origa.	PlayMusic
