sentence	label	missing	target
how can i get from guards in force on censure him to kurt eisner strada. 	1		how can i get from garching forschungszentrum to kurt-eisner-straße?
i want to travel from guard change audience blacks. 	1		i want to travel from garching to odeonsplatz?
show me the next bus from guard jane. 	0		show me the next bus from garching!
can you find a blast from twitch draws attila hal. 	1		can you find a bus from quiddestraße to lehel?
when was the next two years that. 	0		when is the next u6?
how can i get from guarding to dodging. 	1		how can i get from garching to garching?
what's the shower is a connection between quit straws and against blacks. 	1		what's the shortest connection between quiddestraße and odeonsplatz?
is there a bus from guards into the socket around five. 	1		is there a bus from garching to moosach at around 5?
i need a connection from here as to carl priest planted am monsieur. 	1		i need a connection from harras to karl-preis-platz at 8 am.
i need to be in charging at nine. 	1		i need to be in garching at 9
when does the next train leave from cartoon for south central. 	0		when does the next train leave from garching forschungszentrum
how can i get from darting to melbourne children. 	1		how can i get from garching to milbertshofen?
can i take a bus from twitch drafted to help on health. 	1		can i take a bus from quiddestraße to hauptbahnhof?
could you give me the fastest connection between furthermore strossen al-qaeda. 	1		could you give me the fastest connection between brudermühlstraße and alte heide?
when the next bus leaves from how the barn house. 	0		when does the next bus leaves from hauptbahnhof?
how to get from bonney applied to fryman. 	1		how to get from bonnerplatz to freimann
how can i get from new pearl lakes interim to carl's plants as fast as possible. 	1		how can i get from neuperlach zentrum to karlsplatz as fast as possible?
can you find a connection from olympiad center until the hell at two pm. 	1		can you find a connection from olympiazentrum to lehel at 2 pm?
how can i get to quench trust them. 	1		how can i get to quiddestraße?
i get from guarding tupper lake. 	1		how to get from garching to perlach?
show me the next bus from likely that. 	0		show me the next bus from michaelibad.
and i get from darting to minds near franklin as fast as possible. 	1		how can i get from garching to münchner freiheit as fast as possible?
when the next step lady parts from odeon splat. 	0		when does the next subway departes from odeonsplatz?
when is the bands from klensch draws them. 	0		when is the bus from quiddestraße?
when in the next train from darting. 	0		when is the next train from garching
how can i get to melbourne show faint from guard jing. 	1		how can i get to milbertshofen from garching?
when does the next train leaves. 	0		when does the next train leaves?
how they get from my tears strauss anchor twenty want to fry many. 	1		how to get from untere strassäcker 21 to frötmaning
how can i get the gold slingshot the front which draws them. 	1		how can i get to boltzmannstraße from quiddestraße?
when was the train leaving in ka ting. 	0		when is the train leaving in garching?
in the duty of how the bonham that one pm teeny sturgeon connection from guarding four cents an interim. 	1		in need to be at hauptbahnhof at 1 pm, can you search a connection from garching forschungszentrum?
how can i get from darting force john center in the audience plan. 	1		how can i get from garching, forschungszentrum to odeonsplatz?
when the next bus leaves the guards in force on center 'em. 	0		when does the next bus leaves at garching forschungszentrum?
can i get from olympia ion counts entered the help on health. 	1		how do i get from olympia einkaufszentrum to hauptbahnhof?
is there a train from new pearl lakes and from departing at three pm. 	1		is there a train from neuperlach zentrum to garching at 3 pm?
how can i get from la say to guards in force on center 'em. 	1		how can i get from mossach to garching forschungszentrum?
when is the next subway leading from darting. 	0		when is the next subway leaving from garching?
what is the next connection from guards in force on center and audience plan. 	1		what is the next connection from garching forschungszentrum to odeonsplatz?
when the next bus leaves at rome in plots. 	0		when does the next bus leaves at romanplatz?
when does the next bus leaving darting. 	0		when does the next bus leave in garching?
when the next bus leaves a guard jane. 	0		when does the next bus leaves at garching?
how can i get from guarding dismantling are taller. 	1		how can i get from garching to sendlinger tor?
when in the next train ignored frieda. 	0		when is the next train in nordfriedhof
is there a trend from carl's plod through hell. 	1		is there a tram from karlsplatz to lehel?
when is the next bus leaving from guard sing. 	0		when is the next bus leaving from garching?
when the next training guards in force on center misleading. 	0		when the next train in garching forschungszentrum is leaving?
when i think aliens next couple in leading a guarding for sure center on. 	0		when is adrians next subway leaving at garching forschungszentrum?
what's that she'd this way from the upper lakeside to let hal. 	1		what's the cheapest way from neuperlach süd to lehel?
connection somehow been hostile audience blacks. 	1		connection from hauptbahnhof to odeonsplatz?
can i get up and here's strauss occur. 	1		how do i get to untere straussäcker?
when is the next train in mind sniff ride high. 	0		when is the next train in münchner freiheit?
when is the next train in your country house. 	0		when is the next train in nordfriedhof?
when the next train in ka ching force on center misleading. 	0		when the next train in garching,forschungszentrum is leaving?
when was the next case six leaving from guard sing. 	0		when is the next u6 leaving from garching?
he gave me a connection from guard change audience blacks. 	1		can you give me a connection from garching to odeonsplatz?
when is the next train from my tears stress acker twenty wind guarding to keep her garden. 	1		when is the next train from untere straßaecker 21, garching to kieferngarten
when the next train departs from clenched johnson. 	0		when does the next train departs from quiddestraße?
how can i get from guarding to guard jane. 	1		how can i get from garchingto garching?
how can i get through clenched jaws it to bolting stratton. 	1		how can i get from quiddestraße to boltzmannstraße?
that can i get from darting to help the bond on. 	1		how can i get from garching to hauptbahnhof?
when the next train starts from helped by a cough. 	0		when does the next tram starts from hauptbahnhof?
can you find the shortest way from misspelled to melbourne show thing. 	1		can you find the shortest way from moosfeld to milbertshofen?
connection for my tears strong thicker twenty windy keeper in garden. 	1		connection from untere straßäcker 21 to kieferngarten
what is the cheapest connection between quit straws and how the barn cough. 	1		what is the cheapest connection between quiddestraße and hauptbahnhof?
how can i get to new per lakeside from guarding force on stench from. 	1		how can i get to neuperlach süd from garching forschungszentrum?
how can i get from olympiad sent you to help on health. 	1		how can i get from olympiazentrum to hauptbahnhof?
how can i get from guards in force on center in the audience plants. 	1		how can i get from garching forschungszentrum to odeonsplatz?
how can i get from those that the darting four sons interim. 	1		how can i get from moosach to garching forschungszentrum?
when is the train leaving and arson. 	0		when is the train leaving in garching
is there a buzz promoting in slats to help the bonham victory pm. 	1		is there a bus from odeonsplatz to hauptbahnhof at 3 pm?
when in the next train from nord freed on the guards in for stung santorum. 	1		when is the next train from nordfriedhof to garching forschungszentrum
when comes the next train. 	0		when comes the next train
when does the next as on aids from how the barn house. 	0		when does the next s-bahn leaves from hauptbahnhof?
from darting tupper lake. 	1		from garching to perlach
how can i get from guards in the audience plants. 	1		how can i get from garching to odeonsplatz?
when is the next train starts its handling her to learn. 	0		when does the next train starts at sendlinger tor?
when in the next train from my tears strauss zachary twenty wanting to keep her garden. 	1		when is the next train from untere straßaecker 21 to kieferngarten
when does the next rock it feeds from guarding four sons tantrum. 	0		when does the next rocket leaves from garching forschungszentrum?
they bought when does the next bus starts at the arching. 	0		hey bot, when does the next bus starts at garching?
from darting to insist that. 	1		from garching to studentenstadt
when does the next train leaves promoting splat. 	0		when does the next train leaves from odeonsplatz?
when in the next train from darting. 	0		when is the next train from garching
can i get for maria clients the new guard jing. 	1		how do i get from marienplatz zu garching
when just about to row going like start. 	0		when does the bus to röblingweg starts?
when the next train encouraging is leaving. 	0		when the next train in garching is leaving?
when does the next train comic arjun force on center on. 	0		when does the next train come at garching forschungszentrum
when can i get i said mary health lots. 	0		when can i get a bus at mariahilfplatz?
how can i get from kurt eisner straws it to the arching. 	1		how can i get from kurt-eisner-straße to garching?
when in the next train to guard jing. 	1		when is the next train to garching
can you tell me the cheapest way from guards in force on center and acreage draws them. 	1		can you tell me the cheapest way from garching forschungszentrum to quiddestraße?
with the shortest way between how the bond hoffa node in splat. 	1		what's the shortest way between hauptbahnhof and odeonsplatz?
when will the next to you bind depart from guarding four sons tantrum. 	0		when will the next u-bahn depart from garching forschungszentrum?
when is the next train. 	0		when is the next train
when in the next bus encouraging for some center on. 	0		when is the next bus in garching forschungszentrum
next bus trunk which draws them. 	0		next bus from quiddestraße?
how can i get from guards into murray and plots. 	1		how can i get from garching to marienplatz
when does the next train leaves from quench trust them. 	0		when does the next train leaves from quiddestraße?
how can i get is handling a chore. 	1		how can i get to sendlinger tor?
when in the next train leaving in gardening. 	0		when is the next train leaving in garching
how they get from my tears strauss acker twenty want to fry meaning. 	1		how to get from untere strassaecker 21 to frötmaning
