expression;language
u guys r the best!!;en
im meeting up with one of my besties tonight! Cant wait!!  - GIRL TALK!!;en
Thans for your response. Ihad already find this answer;en
crazy day of school. there for 10 hours straiiight. bout to watch the hills.;en
you shud do tha same;en
kitteh is sleepin on my crotch which proves she likes me more;en
hAhAHA!! omG! we wer bOth laughiN off d hOOk!  cuz das hOW we roLLL...ryt sheLdawg?;en
having a long conversation with mom on phone;en
yayyy! lol. i just requested herrr. what did she say?;en
today is our two month anniversary!!! i love you sooooooo much Diana. omg you dont even know ;en
Just tryna get inspired thats all;en
Aw dont you love that  I love for those days! Thanks about the pic ;en
hand is still pretty weak i cant like punch anyone out yet or turn knobs but it doesnt hurt much;en
your telling me.. just finished doing 200 crunches! LETS GO!;en
ur home is where? ohhh i nkow lexington ky rite next to me;en
Just spoke with my fam in #Japan via #Skype! Love to see my little 16-mo-old nephew growing!;en
haha! i'm not saying u should try it.. but maybe u should;en
back from school, long walk! its flippin cold outside  2 days ago it was sunny, next day raining, and today snowing!;en
k. ill try to figure it out. gonna go to bed. night night;en
Oh its real Jon!  We all r so excited that u and the guys came back 4 us.  We appreciate all you put out there!;en
Thank you! Am at home pretty much everywhere. Provided I have broadband ...kiddin' ;en
Callin it a night! I always have the best sleep after a gud workout!!;en
hmmm, sure sure  so what r u upto ? hows the day for u?;en
I agree.  My kids got 'Who am I' 4 Christmas. It's bn fun but I caught my 4 yrold cheating by looking at reflection in TV;en
WHATCHA CHUCKLIN BOUT MS.YEN;en
Hellz yeah, definitely downloading. Thanks ;en
we are so stinkin cute;en
pullin an all nighter wit my bffl madison;en
going to bed. My bb isn't working and I'm bored.  Night all. Love me harder tomorrow, than you did today.;en
ROflmao... niqqa please. you ackin' a fool now.;en
oh oh oh!!! gonna go buy Twilight on DVD today  I have to extend my overdraft for the 2nd time in as many weeks so I may aswell!!;en
just got home from school (: meant to be getting my hair cut .. but i cbf. lol dancing soon;en
Sleeeeeeeeeep, then an interview tomorrow! Wish me luck ;en
not there yet. And i beleive so  red carpet sighting i hope.;en
Couldnt agree more!The unison and committment was incredible.Considering the pressure they r under made it all the more amazing;en
heyyyyyy want to hook it up!! lol;en
I'm gunnna do both of those things;en
Congrats from Peru! You were/are amazing! i was speechless,thank u so much! come here someday plz, ill wait forever seriously! ;en
Much Luv to Mary and John who's now following me on twitter!!;en
God sho love him some me  feeling really really blessed tonight++++++;en
LOL not yet my brutha from anotha mutha;en
hum nice 1! lol take something..LOL yeah party over there, haha u kno them drunk ass's  Will i b seeing you @ Janets party??;en
Sorry I am talking to my best friend.. So I havent replied!!  But I can talk to you too!;en
oh ok then im gonna go and buy one for when i come up there;en
Goooooood morning, Chubbx  how are you today?;en
thats most excellent  lotsa people loving you hehe *Winks*;en
Juz watchin' 3 eps. of your show HM, I must say I instantly became a fan of urs! Lovin' ur humor so mucho! More power 2 u! ;en
HEYYYYYYYYYYY YOU;en
Studying philosophy and math... BLAH aka listening to music and on twitter, facebook, and myspace ;en
Will u ask Donnie if he got the gift from my 9 yr old lastnight?;en
