sentence	label	missing	target
how can i get from garching forschungszentrum to kurt-eisner-straße?	1		how can i get from garching forschungszentrum to kurt-eisner-straße?
i want to travel from garching to odeonsplatz?	1		i want to travel from garching to odeonsplatz?
show me the next bus from garching!	0		show me the next bus from garching!
can you find a bus from quiddestraße to lehel?	1		can you find a bus from quiddestraße to lehel?
when is the next u6?	0		when is the next u6?
how can i get from garching to garching?	1		how can i get from garching to garching?
what's the shortest connection between quiddestraße and odeonsplatz?	1		what's the shortest connection between quiddestraße and odeonsplatz?
is there a bus from garching to moosach at around 5?	1		is there a bus from garching to moosach at around 5?
i need a connection from harras to karl-preis-platz at 8 am.	1		i need a connection from harras to karl-preis-platz at 8 am.
i need to be in garching at 9	1		i need to be in garching at 9
when does the next train leave from garching forschungszentrum	0		when does the next train leave from garching forschungszentrum
how can i get from garching to milbertshofen?	1		how can i get from garching to milbertshofen?
can i take a bus from quiddestraße to hauptbahnhof?	1		can i take a bus from quiddestraße to hauptbahnhof?
could you give me the fastest connection between brudermühlstraße and alte heide?	1		could you give me the fastest connection between brudermühlstraße and alte heide?
when does the next bus leaves from hauptbahnhof?	0		when does the next bus leaves from hauptbahnhof?
how to get from bonnerplatz to freimann	1		how to get from bonnerplatz to freimann
how can i get from neuperlach zentrum to karlsplatz as fast as possible?	1		how can i get from neuperlach zentrum to karlsplatz as fast as possible?
can you find a connection from olympiazentrum to lehel at 2 pm?	1		can you find a connection from olympiazentrum to lehel at 2 pm?
how can i get to quiddestraße?	1		how can i get to quiddestraße?
how to get from garching to perlach?	1		how to get from garching to perlach?
show me the next bus from michaelibad.	0		show me the next bus from michaelibad.
how can i get from garching to münchner freiheit as fast as possible?	1		how can i get from garching to münchner freiheit as fast as possible?
when does the next subway departes from odeonsplatz?	0		when does the next subway departes from odeonsplatz?
when is the bus from quiddestraße?	0		when is the bus from quiddestraße?
when is the next train from garching	0		when is the next train from garching
how can i get to milbertshofen from garching?	1		how can i get to milbertshofen from garching?
when does the next train leaves?	0		when does the next train leaves?
how to get from untere strassäcker 21 to frötmaning	1		how to get from untere strassäcker 21 to frötmaning
how can i get to boltzmannstraße from quiddestraße?	1		how can i get to boltzmannstraße from quiddestraße?
when is the train leaving in garching?	0		when is the train leaving in garching?
in need to be at hauptbahnhof at 1 pm, can you search a connection from garching forschungszentrum?	1		in need to be at hauptbahnhof at 1 pm, can you search a connection from garching forschungszentrum?
how can i get from garching, forschungszentrum to odeonsplatz?	1		how can i get from garching, forschungszentrum to odeonsplatz?
when does the next bus leaves at garching forschungszentrum?	0		when does the next bus leaves at garching forschungszentrum?
how do i get from olympia einkaufszentrum to hauptbahnhof?	1		how do i get from olympia einkaufszentrum to hauptbahnhof?
is there a train from neuperlach zentrum to garching at 3 pm?	1		is there a train from neuperlach zentrum to garching at 3 pm?
how can i get from mossach to garching forschungszentrum?	1		how can i get from mossach to garching forschungszentrum?
when is the next subway leaving from garching?	0		when is the next subway leaving from garching?
what is the next connection from garching forschungszentrum to odeonsplatz?	1		what is the next connection from garching forschungszentrum to odeonsplatz?
when does the next bus leaves at romanplatz?	0		when does the next bus leaves at romanplatz?
when does the next bus leave in garching?	0		when does the next bus leave in garching?
when does the next bus leaves at garching?	0		when does the next bus leaves at garching?
how can i get from garching to sendlinger tor?	1		how can i get from garching to sendlinger tor?
when is the next train in nordfriedhof	0		when is the next train in nordfriedhof
is there a tram from karlsplatz to lehel?	1		is there a tram from karlsplatz to lehel?
when is the next bus leaving from garching?	0		when is the next bus leaving from garching?
when the next train in garching forschungszentrum is leaving?	0		when the next train in garching forschungszentrum is leaving?
when is adrians next subway leaving at garching forschungszentrum?	0		when is adrians next subway leaving at garching forschungszentrum?
what's the cheapest way from neuperlach süd to lehel?	1		what's the cheapest way from neuperlach süd to lehel?
connection from hauptbahnhof to odeonsplatz?	1		connection from hauptbahnhof to odeonsplatz?
how do i get to untere straussäcker?	1		how do i get to untere straussäcker?
when is the next train in münchner freiheit?	0		when is the next train in münchner freiheit?
when is the next train in nordfriedhof?	0		when is the next train in nordfriedhof?
when the next train in garching,forschungszentrum is leaving?	0		when the next train in garching,forschungszentrum is leaving?
when is the next u6 leaving from garching?	0		when is the next u6 leaving from garching?
can you give me a connection from garching to odeonsplatz?	1		can you give me a connection from garching to odeonsplatz?
when is the next train from untere straßaecker 21, garching to kieferngarten	1		when is the next train from untere straßaecker 21, garching to kieferngarten
when does the next train departs from quiddestraße?	0		when does the next train departs from quiddestraße?
how can i get from garchingto garching?	1		how can i get from garchingto garching?
how can i get from quiddestraße to boltzmannstraße?	1		how can i get from quiddestraße to boltzmannstraße?
how can i get from garching to hauptbahnhof?	1		how can i get from garching to hauptbahnhof?
when does the next tram starts from hauptbahnhof?	0		when does the next tram starts from hauptbahnhof?
can you find the shortest way from moosfeld to milbertshofen?	1		can you find the shortest way from moosfeld to milbertshofen?
connection from untere straßäcker 21 to kieferngarten	1		connection from untere straßäcker 21 to kieferngarten
what is the cheapest connection between quiddestraße and hauptbahnhof?	1		what is the cheapest connection between quiddestraße and hauptbahnhof?
how can i get to neuperlach süd from garching forschungszentrum?	1		how can i get to neuperlach süd from garching forschungszentrum?
how can i get from olympiazentrum to hauptbahnhof?	1		how can i get from olympiazentrum to hauptbahnhof?
how can i get from garching forschungszentrum to odeonsplatz?	1		how can i get from garching forschungszentrum to odeonsplatz?
how can i get from moosach to garching forschungszentrum?	1		how can i get from moosach to garching forschungszentrum?
when is the train leaving in garching	0		when is the train leaving in garching
is there a bus from odeonsplatz to hauptbahnhof at 3 pm?	1		is there a bus from odeonsplatz to hauptbahnhof at 3 pm?
when is the next train from nordfriedhof to garching forschungszentrum	1		when is the next train from nordfriedhof to garching forschungszentrum
when comes the next train	0		when comes the next train
when does the next s-bahn leaves from hauptbahnhof?	0		when does the next s-bahn leaves from hauptbahnhof?
from garching to perlach	1		from garching to perlach
how can i get from garching to odeonsplatz?	1		how can i get from garching to odeonsplatz?
when does the next train starts at sendlinger tor?	0		when does the next train starts at sendlinger tor?
when is the next train from untere straßaecker 21 to kieferngarten	1		when is the next train from untere straßaecker 21 to kieferngarten
when does the next rocket leaves from garching forschungszentrum?	0		when does the next rocket leaves from garching forschungszentrum?
hey bot, when does the next bus starts at garching?	0		hey bot, when does the next bus starts at garching?
from garching to studentenstadt	1		from garching to studentenstadt
when does the next train leaves from odeonsplatz?	0		when does the next train leaves from odeonsplatz?
when is the next train from garching	0		when is the next train from garching
how do i get from marienplatz zu garching	1		how do i get from marienplatz zu garching
when does the bus to röblingweg starts?	0		when does the bus to röblingweg starts?
when the next train in garching is leaving?	0		when the next train in garching is leaving?
when does the next train come at garching forschungszentrum	0		when does the next train come at garching forschungszentrum
when can i get a bus at mariahilfplatz?	0		when can i get a bus at mariahilfplatz?
how can i get from kurt-eisner-straße to garching?	1		how can i get from kurt-eisner-straße to garching?
when is the next train to garching	1		when is the next train to garching
can you tell me the cheapest way from garching forschungszentrum to quiddestraße?	1		can you tell me the cheapest way from garching forschungszentrum to quiddestraße?
what's the shortest way between hauptbahnhof and odeonsplatz?	1		what's the shortest way between hauptbahnhof and odeonsplatz?
when will the next u-bahn depart from garching forschungszentrum?	0		when will the next u-bahn depart from garching forschungszentrum?
when is the next train	0		when is the next train
when is the next bus in garching forschungszentrum	0		when is the next bus in garching forschungszentrum
next bus from quiddestraße?	0		next bus from quiddestraße?
how can i get from garching to marienplatz	1		how can i get from garching to marienplatz
when does the next train leaves from quiddestraße?	0		when does the next train leaves from quiddestraße?
how can i get to sendlinger tor?	1		how can i get to sendlinger tor?
when is the next train leaving in garching	0		when is the next train leaving in garching
how to get from untere strassaecker 21 to frötmaning	1		how to get from untere strassaecker 21 to frötmaning
