sentence	label	missing	target
how can I get from. 	1		how can i get from garching forschungszentrum to kurt-eisner-straße?
 	1		i want to travel from garching to odeonsplatz?
show me the next bus from garching. 	0		show me the next bus from garching!
 	1		can you find a bus from quiddestraße to lehel?
when is the next. 	0		when is the next u6?
 	1		how can i get from garching to garching?
what's the shortest connection between. 	1		what's the shortest connection between quiddestraße and odeonsplatz?
is there a bus from. 	1		is there a bus from garching to moosach at around 5?
connection from Harrah's to call Trace. 	1		i need a connection from harras to karl-preis-platz at 8 am.
 	1		i need to be in garching at 9
when does the next train leave from garching forschungszentrum. 	0		when does the next train leave from garching forschungszentrum
how can I get from. 	1		how can i get from garching to milbertshofen?
can I take a bus from. 	1		can i take a bus from quiddestraße to hauptbahnhof?
could you give me the fastest connection between. 	1		could you give me the fastest connection between brudermühlstraße and alte heide?
when does the next bus leave from house Pinetop. 	0		when does the next bus leaves from hauptbahnhof?
 	1		how to get from bonnerplatz to freimann
how can I get from Newport as fast as possible. 	1		how can i get from neuperlach zentrum to karlsplatz as fast as possible?
connection. 	1		can you find a connection from olympiazentrum to lehel at 2 pm?
 	1		how can i get to quiddestraße?
how to get from. 	1		how to get from garching to perlach?
show me the next bus from my clay bad. 	0		show me the next bus from michaelibad.
how can I get from. 	1		how can i get from garching to münchner freiheit as fast as possible?
when is the next. 	0		when does the next subway departes from odeonsplatz?
when is the. 	0		when is the bus from quiddestraße?
when is the next train from darting. 	0		when is the next train from garching
 	1		how can i get to milbertshofen from garching?
when does the next train leave. 	0		when does the next train leaves?
 	1		how to get from untere strassäcker 21 to frötmaning
 	1		how can i get to boltzmannstraße from quiddestraße?
when is the train leaving. 	0		when is the train leaving in garching?
can you search. 	1		in need to be at hauptbahnhof at 1 pm, can you search a connection from garching forschungszentrum?
how can I get from guards. 	1		how can i get from garching, forschungszentrum to odeonsplatz?
when does the next bus leave the Tantrum. 	0		when does the next bus leaves at garching forschungszentrum?
how do I get from Olympia. 	1		how do i get from olympia einkaufszentrum to hauptbahnhof?
is there a train from Newport at 3 p.m.. 	1		is there a train from neuperlach zentrum to garching at 3 pm?
how can I get from Centrum. 	1		how can i get from mossach to garching forschungszentrum?
when is the next subway leaving from. 	0		when is the next subway leaving from garching?
next connection. 	1		what is the next connection from garching forschungszentrum to odeonsplatz?
when does the next bus leave at romance watch. 	0		when does the next bus leaves at romanplatz?
when does the next bus leave. 	0		when does the next bus leave in garching?
when does the next bus leave. 	0		when does the next bus leaves at garching?
how can I get from Garcia. 	1		how can i get from garching to sendlinger tor?
when is the next train in North Freedom. 	0		when is the next train in nordfriedhof
is there a tram from. 	1		is there a tram from karlsplatz to lehel?
when is the next bus leaving from Garcia. 	0		when is the next bus leaving from garching?
when's the next train leaving. 	0		when the next train in garching forschungszentrum is leaving?
when is Centrum. 	0		when is adrians next subway leaving at garching forschungszentrum?
what's the cheapest way from new perlick funchal hell. 	1		what's the cheapest way from neuperlach süd to lehel?
directions. 	1		connection from hauptbahnhof to odeonsplatz?
how do I get to liquor. 	1		how do i get to untere straussäcker?
when is the next rain in munchener-freiheit. 	0		when is the next train in münchner freiheit?
when is the next train. 	0		when is the next train in nordfriedhof?
when's the next train. 	0		when the next train in garching,forschungszentrum is leaving?
when is the next U6 leaving from Garcia. 	0		when is the next u6 leaving from garching?
connection from. 	1		can you give me a connection from garching to odeonsplatz?
when is the next train from. 	1		when is the next train from untere straßaecker 21, garching to kieferngarten
when does the next train depart from. 	0		when does the next train departs from quiddestraße?
how can I get from Garden to go. 	1		how can i get from garchingto garching?
how can I get from. 	1		how can i get from quiddestraße to boltzmannstraße?
how can I get from. 	1		how can i get from garching to hauptbahnhof?
when is the next tram starts from House. 	0		when does the next tram starts from hauptbahnhof?
 	1		can you find the shortest way from moosfeld to milbertshofen?
Direction from. 	1		connection from untere straßäcker 21 to kieferngarten
what is the cheapest connection between vonhaus. 	1		what is the cheapest connection between quiddestraße and hauptbahnhof?
how can I get to Newport from garching forschungszentrum. 	1		how can i get to neuperlach süd from garching forschungszentrum?
how can I get from Olympia. 	1		how can i get from olympiazentrum to hauptbahnhof?
how can I get from. 	1		how can i get from garching forschungszentrum to odeonsplatz?
how can I get from the garching forschungszentrum. 	1		how can i get from moosach to garching forschungszentrum?
when is the train leaving in. 	0		when is the train leaving in garching
is there a bus from odeonsplatz. 	1		is there a bus from odeonsplatz to hauptbahnhof at 3 pm?
when is the next train from Newark free haunted are Centrum. 	1		when is the next train from nordfriedhof to garching forschungszentrum
when's the next train. 	0		when comes the next train
the next bus from Health Pinetop. 	0		when does the next s-bahn leaves from hauptbahnhof?
 	1		from garching to perlach
how can I get from. 	1		how can i get from garching to odeonsplatz?
when is the next train starts at sendlinger tor. 	0		when does the next train starts at sendlinger tor?
when is the next train from Ontario. 	1		when is the next train from untere straßaecker 21 to kieferngarten
when does the next tantrum. 	0		when does the next rocket leaves from garching forschungszentrum?
when does the next. 	0		hey bot, when does the next bus starts at garching?
 	1		from garching to studentenstadt
when does the next train leave. 	0		when does the next train leaves from odeonsplatz?
when is the next train from darting. 	0		when is the next train from garching
how do I get to. 	1		how do i get from marienplatz zu garching
when does the. 	0		when does the bus to röblingweg starts?
when's the next train. 	0		when the next train in garching is leaving?
when does the next train come from. 	0		when does the next train come at garching forschungszentrum
when can I get a bus at Marian Hill.. 	0		when can i get a bus at mariahilfplatz?
how can I get from. 	1		how can i get from kurt-eisner-straße to garching?
when is the next train to. 	1		when is the next train to garching
can you tell me the cheapest way from garching forschungszentrum to put Strasse. 	1		can you tell me the cheapest way from garching forschungszentrum to quiddestraße?
what's the shortest way between house.. 	1		what's the shortest way between hauptbahnhof and odeonsplatz?
Centrum. 	0		when will the next u-bahn depart from garching forschungszentrum?
when is the next train. 	0		when is the next train
when is the next bus in garching forschungszentrum. 	0		when is the next bus in garching forschungszentrum
 	0		next bus from quiddestraße?
how can I get from. 	1		how can i get from garching to marienplatz
when does the next train leave from. 	0		when does the next train leaves from quiddestraße?
how can I get to send. 	1		how can i get to sendlinger tor?
when is the next train leaving in garching. 	0		when is the next train leaving in garching
21. 	1		how to get from untere strassaecker 21 to frötmaning
