Locate the best pub in Apache Junction	BookRestaurant
rate the following novel one of 6	RateBook
   Balkan Rhapsodies: 78 Measures  War   Malco Theatres? 	SearchScreeningEvent
Find the schedule for movies at the Megaplex Theatres.	SearchScreeningEvent
  movie times  one minute  now 	SearchScreeningEvent
I want to book the distant downtown Tribeca Grill for august the twenty-third, 2025 for wilda and jacklyn	BookRestaurant
  Fabri Fibra to   Earth, Wind &  	AddToPlaylist
I want to give this album zero out of 6 stars	RateBook
I want  hear a    	PlayMusic
Can I get some russian cuisine at a restaurant with shari and I?	BookRestaurant
 some  Andrew Lloyd Webber   Shark 	PlayMusic
  the  Hess: A Biography 	SearchCreativeWork
 omnipresent to  	AddToPlaylist
Play Pacific Ocean Blues by John Doe on Lastfm	PlayMusic
I'd like to watch movies at the nearest movie house	SearchScreeningEvent
I rate the current textbook a 1 out of 6.	RateBook
movie times  Warren  	SearchScreeningEvent
show movie schedule of The Big Mouth	SearchCreativeWork
Play some Psychedelic Rock.	PlayMusic
Where can I see No Time to Die?	SearchScreeningEvent
How will the weather be this month in OR	GetWeather
Tell  the  forecast  Greensburg 	GetWeather
put Unbound into found them first for me	AddToPlaylist
How's    Grisdale, Bangladesh? 	GetWeather
book a masala bar on march 6, 2034	BookRestaurant
  02:22 pm Maldives 	GetWeather
 I  the showtimes    Malco Theatres. 	SearchScreeningEvent
I need a reservation for a tea house in Maple Glen for four people	BookRestaurant
  reservations  3 people  a   Alderwood Manor 	BookRestaurant
 to   Lazy Chill Afternoon Nothing  Stop  	AddToPlaylist
Show The Swan Princess	SearchCreativeWork
  the    nov. 15  France  Brookland Terrace 	GetWeather
Let me get reservations for a party of three at a bar with a pool.	BookRestaurant
 fog conditions  7   NH 	GetWeather
 some  on spotify 	PlayMusic
 father  law  I would  to go to a    	BookRestaurant
Play music from 1954	PlayMusic
this series gets 2 out of 6 stars	RateBook
What's the   the U.S.   	GetWeather
  A Mis Niños de  	PlayMusic
 something  the twenties 	PlayMusic
book at Beardslee Castle in Fairview Lanes for fifteen o'clock	BookRestaurant
 a   Jonny Buckland symphony   1989 	PlayMusic
 Whole  Discipline 5  6  	RateBook
Is it warm in Califon, Tunisia	GetWeather
 it  colder  Vermont? 	GetWeather
I want jimmie noone  the    mejor   00's 	AddToPlaylist
show video game name Find the Colour	SearchCreativeWork
I need a reservation for apr. the sixteenth, 2027 in Cazenovia, CA	BookRestaurant
Add more David Wolfenberger to my Duetos playlist. 	AddToPlaylist
 the Carrousel  	SearchCreativeWork
   Bordertown Trail showing 	SearchScreeningEvent
