sentence	label	missing	target
call tonight that's wrong with our thing for it. 	1		how can i get from garching forschungszentrum to kurt-eisner-straße?
I want to grab over on the dollar exchange to odeonsplatz. 	1		i want to travel from garching to odeonsplatz?
show me the next bus run. 	0		show me the next bus from garching!
can you find a bus run Quiz 3. 	1		can you find a bus from quiddestraße to lehel?
when is the next USA. 	0		when is the next u6?
call tonight. 	1		how can i get from garching to garching?
what's the shortest connection between Quiz 3 in Bellevue. 	1		what's the shortest connection between quiddestraße and odeonsplatz?
is there a bus run around 5. 	1		is there a bus from garching to moosach at around 5?
connection from Colorado last night. 	1		i need a connection from harras to karl-preis-platz at 8 am.
 	1		i need to be in garching at 9
when does the next train leave from Darth Bane for. 	0		when does the next train leave from garching forschungszentrum
how to make a strong erection. 	1		how can i get from garching to milbertshofen?
can I take a bus run quiz. 	1		can i take a bus from quiddestraße to hauptbahnhof?
could you tell me the fastest connection between Reuther middle three-and-out ID. 	1		could you give me the fastest connection between brudermühlstraße and alte heide?
when's the next bus leaving from. 	0		when does the next bus leaves from hauptbahnhof?
how to get Rum Runner flasks karate man. 	1		how to get from bonnerplatz to freimann
call tonight that's wrong lyric relax and romantic Karl's blast as fast as possible. 	1		how can i get from neuperlach zentrum to karlsplatz as fast as possible?
can you find a connection from Olean cuz I'm running to level at 2 p.m.. 	1		can you find a connection from olympiazentrum to lehel at 2 pm?
call tonight. 	1		how can i get to quiddestraße?
how to get a strong dollar thankful for that. 	1		how to get from garching to perlach?
show me the next bus run Mitchell. 	0		show me the next bus from michaelibad.
call tonight that's wrong with our thing for lunch. 	1		how can i get from garching to münchner freiheit as fast as possible?
when's the next Subway restaurant. 	0		when does the next subway departes from odeonsplatz?
when is the bus run clerestory. 	0		when is the bus from quiddestraße?
when is the next train from Arthur. 	0		when is the next train from garching
Carlton Itasca Milford. 	1		how can i get to milbertshofen from garching?
when does the next train leave. 	0		when does the next train leaves?
how to get run on 21. 	1		how to get from untere strassäcker 21 to frötmaning
call tonight at Bozeman cerebrum Quizlet. 	1		how can i get to boltzmannstraße from quiddestraße?
when is the train leaving. 	0		when is the train leaving in garching?
 	1		in need to be at hauptbahnhof at 1 pm, can you search a connection from garching forschungszentrum?
call tonight at 4. 	1		how can i get from garching, forschungszentrum to odeonsplatz?
when's the next bus leave for work. 	0		when does the next bus leaves at garching forschungszentrum?
how do I get a strong Olympia einkaufszentrum alcohol out. 	1		how do i get from olympia einkaufszentrum to hauptbahnhof?
is there a train from Nucor like that around 3 p.m.. 	1		is there a train from neuperlach zentrum to garching at 3 pm?
call tonight at 4. 	1		how can i get from mossach to garching forschungszentrum?
when is the next subway leaving from. 	0		when is the next subway leaving from garching?
what is the next connection from Dorothy for it. 	1		what is the next connection from garching forschungszentrum to odeonsplatz?
when's the next bus leave at Roland Flats. 	0		when does the next bus leaves at romanplatz?
when's the next bus leaving. 	0		when does the next bus leave in garching?
when does the next bus leave. 	0		when does the next bus leaves at garching?
how can I cast from DirecTV. 	1		how can i get from garching to sendlinger tor?
when is the next rain in North Raleigh at all. 	0		when is the next train in nordfriedhof
is there a gram from Carl's last two level. 	1		is there a tram from karlsplatz to lehel?
when is the next bus leaving from Galveston. 	0		when is the next bus leaving from garching?
when's the next rain in car thing for current laundromat leaving. 	0		when the next train in garching forschungszentrum is leaving?
when is Labor Day next subway leaving at Dorothy for it cuz then. 	0		when is adrians next subway leaving at garching forschungszentrum?
what's the cheapest way from Nucor life cycle. 	1		what's the cheapest way from neuperlach süd to lehel?
connection from Halo Phantom to odeonsplatz. 	1		connection from hauptbahnhof to odeonsplatz?
how do I get to I-10. 	1		how do i get to untere straussäcker?
when is the next rain in Montana right now. 	0		when is the next train in münchner freiheit?
when is the next rain in Lawrence right at home. 	0		when is the next train in nordfriedhof?
when the next rain in Culver City. 	0		when the next train in garching,forschungszentrum is leaving?
when is the next Deus Ex leaving from Direction. 	0		when is the next u6 leaving from garching?
can you tell me a connection from your chainsaw being flat. 	1		can you give me a connection from garching to odeonsplatz?
when is the next Grey's romaker what's the value or 21. 	1		when is the next train from untere straßaecker 21, garching to kieferngarten
when's the next train depart stromquist. 	0		when does the next train departs from quiddestraße?
call tonight that's wrong with our thanks. 	1		how can i get from garchingto garching?
how can I cast from Quiz 3. 	1		how can i get from quiddestraße to boltzmannstraße?
how to make a strong dollar exchange to haul out. 	1		how can i get from garching to hauptbahnhof?
when's the next Grand seoul Restaurant. 	0		when does the next tram starts from hauptbahnhof?
can you find Play Store this way bro moves I was coming over. 	1		can you find the shortest way from moosfeld to milbertshofen?
connection from us airstrike 2144. 	1		connection from untere straßäcker 21 to kieferngarten
what is the cheapest connection between equestrian Hall fan.. 	1		what is the cheapest connection between quiddestraße and hauptbahnhof?
tonight at sanook relaxer. 	1		how can i get to neuperlach süd from garching forschungszentrum?
how can I cast my Motorola E4. 	1		how can i get from olympiazentrum to hauptbahnhof?
how can I cash ramadhar thing for it. 	1		how can i get from garching forschungszentrum to odeonsplatz?
how to make a strong move fast forward. 	1		how can i get from moosach to garching forschungszentrum?
when is the grain leaving him. 	0		when is the train leaving in garching
is there a bus from odeonsplatz to Hall and all-natural p.m.. 	1		is there a bus from odeonsplatz to hauptbahnhof at 3 pm?
when is the next train from North right at home to car thing for work. 	1		when is the next train from nordfriedhof to garching forschungszentrum
when's the next rain. 	0		when comes the next train
when's the next Aspen leaves room haul out and. 	0		when does the next s-bahn leaves from hauptbahnhof?
Food 4 Less. 	1		from garching to perlach
call tonight. 	1		how can i get from garching to odeonsplatz?
when's the next rain storm. 	0		when does the next train starts at sendlinger tor?
when is the next rain Drama character are you 21. 	1		when is the next train from untere straßaecker 21 to kieferngarten
when's the next rocket leaving from Dorothy. 	0		when does the next rocket leaves from garching forschungszentrum?
when's the next bus. 	0		hey bot, when does the next bus starts at garching?
 	1		from garching to studentenstadt
when's the next train leaving from odeonsplatz. 	0		when does the next train leaves from odeonsplatz?
