sentence	label	missing	target
how can i get from garching forschungszentrum green eyes arya still race rc. 	1		how can i get from garching forschungszentrum to kurt-eisner-straße?
i want to travel from garching to odeonsplatz. 	1		i want to travel from garching to odeonsplatz?
show me the next bus. 	0		show me the next bus from garching!
can you find a bus from quiddestraße to lehel. 	1		can you find a bus from quiddestraße to lehel?
when is the next ufc. 	0		when is the next u6?
how can i get from garching to garching. 	1		how can i get from garching to garching?
what's the shortest connection between quiddestraße and odeonsplatz. 	1		what's the shortest connection between quiddestraße and odeonsplatz?
is there a bus from garching to lose that shit down sign. 	1		is there a bus from garching to moosach at around 5?
i need a connection from her and her two tries flats. 	1		i need a connection from harras to karl-preis-platz at 8 am.
i need to be entertained. 	1		i need to be in garching at 9
when does the next train leave from garching forschungszentrum. 	0		when does the next train leave from garching forschungszentrum
how can i get from garching to meal prep. 	1		how can i get from garching to milbertshofen?
can i take a bus from quiddestraße to hauptbahnhof. 	1		can i take a bus from quiddestraße to hauptbahnhof?
could you give me the fastest connection between february and i'll get it. 	1		could you give me the fastest connection between brudermühlstraße and alte heide?
when does the next bus leaves from hauptbahnhof. 	0		when does the next bus leaves from hauptbahnhof?
how to get from bonner platz to. 	1		how to get from bonnerplatz to freimann
how can i get from neuperlach sued from a car usb and fast as possible. 	1		how can i get from neuperlach zentrum to karlsplatz as fast as possible?
can you find a connection from olympus and from school at two PM. 	1		can you find a connection from olympiazentrum to lehel at 2 pm?
. 	1		how can i get to quiddestraße?
how to get from garching to prove it. 	1		how to get from garching to perlach?
show me the next bus from matthew. 	0		show me the next bus from michaelibad.
how can i get from garching to lunch here i fancy possible. 	1		how can i get from garching to münchner freiheit as fast as possible?
when does the next subway departs from odeonsplatz. 	0		when does the next subway departes from odeonsplatz?
when. 	0		when is the bus from quiddestraße?
when is the next train from garching. 	0		when is the next train from garching
how can i get to melbourne from directory. 	1		how can i get to milbertshofen from garching?
when does the next train leaves. 	0		when does the next train leaves?
how to get promo to twenty one. 	1		how to get from untere strassäcker 21 to frötmaning
how can i get to goldsmith from quince tree. 	1		how can i get to boltzmannstraße from quiddestraße?
