sentence	label	missing	target
I want to hear some The Roches	3		I want to hear some The Roches
Rate the current essay 4 stars	4		Rate the current essay 4 stars
rate the current chronicle five stars	4		rate the current chronicle five stars
Play Noctámbulo playlist	3		Play Noctámbulo playlist
Play ep from Quasimoto from the nineties	3		Play ep from Quasimoto from the nineties
rate Girls Forever Brave and True zero points	4		rate Girls Forever Brave and True zero points
Add Jonathan Arons to my Indie Electronics playlist	0		Add Jonathan Arons to my Indie Electronics playlist
Play top-twenty fourties movement music by Mohammad Reza Lotfi.	3		Play top-twenty fourties movement music by Mohammad Reza Lotfi.
Find The Boys in the Band.	5		Find The Boys in the Band.
at 4 am book a bar in the spa in Shamrock for eight	1		at 4 am book a bar in the spa in Shamrock for eight
Book me a table for me and my nephew near my location at an indoor pub	1		Book me a table for me and my nephew near my location at an indoor pub
Play some nineties music on Zvooq	3		Play some nineties music on Zvooq
Show me Half a Life	5		Show me Half a Life
rate The Princess Mouse: A Tale of Finland one of 6	4		rate The Princess Mouse: A Tale of Finland one of 6
find films at Magic Johnson Theatres	6		find films at Magic Johnson Theatres
Is there any hail in Monterey Bay National Marine Sanctuary	2		Is there any hail in Monterey Bay National Marine Sanctuary
Rate CIA World Factbook five out of 6 stars	4		Rate CIA World Factbook five out of 6 stars
What will the weather by close by the current position at 02:02:30?	2		What will the weather by close by the current position at 02:02:30?
Find me the movie schedules at Fox Theatres	6		Find me the movie schedules at Fox Theatres
Is the weather going to be colder in GU in 11 years 	2		Is the weather going to be colder in GU in 11 years 
Where can I watch the trailer for Home Economics	5		Where can I watch the trailer for Home Economics
add artist brenda k starr to frescura indie	0		add artist brenda k starr to frescura indie
The Voyage of the Dawn Treader deserves 5 points.	4		The Voyage of the Dawn Treader deserves 5 points.
Look for the novel Behind closed doors	5		Look for the novel Behind closed doors
Will it be warmer in Minidoka OK on good friday?	2		Will it be warmer in Minidoka OK on good friday?
This current book deserves 1 points	4		This current book deserves 1 points
I want more francis healy in the Rockin' Vibes playlist. 	0		I want more francis healy in the Rockin' Vibes playlist. 
show me the schedule of Outlaw of Gor at nearest movie house at 5 A.M.	6		show me the schedule of Outlaw of Gor at nearest movie house at 5 A.M.
Please help me search the TV series A Mouse Divided.	5		Please help me search the TV series A Mouse Divided.
Add another song to the Cita Romántica playlist. 	0		Add another song to the Cita Romántica playlist. 
I want to hear some psychedelic rock	3		I want to hear some psychedelic rock
Will it be foggy here?	2		Will it be foggy here?
Play some eighties movement music	3		Play some eighties movement music
I want to watch The Original Recordings	5		I want to watch The Original Recordings
find Phinally Phamous	5		find Phinally Phamous
show movie times now	6		show movie times now
Add the fire and the wind to my Digster Future Hits playlist.	0		Add the fire and the wind to my Digster Future Hits playlist.
I need a reservation for a restaurant that serves cupcakes in OH	1		I need a reservation for a restaurant that serves cupcakes in OH
Play the newest music by Gladys Knight	3		Play the newest music by Gladys Knight
find Journal of the Society for American Music	5		find Journal of the Society for American Music
