sentence	label
I want to hear some The Roches	3
Rate the current essay 4 stars	4
rate the current chronicle five stars	4
Play Noctámbulo playlist	3
Play ep from Quasimoto from the nineties	3
rate Girls Forever Brave and True zero points	4
Add Jonathan Arons to my Indie Electronics playlist	0
Play top-twenty fourties movement music by Mohammad Reza Lotfi.	3
Find The Boys in the Band.	5
at 4 am book a bar in the spa in Shamrock for eight	1
Book me a table for me and my nephew near my location at an indoor pub	1
Play some nineties music on Zvooq	3
Show me Half a Life	5
rate The Princess Mouse: A Tale of Finland one of 6	4
find films at Magic Johnson Theatres	6
Is there any hail in Monterey Bay National Marine Sanctuary	2
Rate CIA World Factbook five out of 6 stars	4
What will the weather by close by the current position at 02:02:30?	2
Find me the movie schedules at Fox Theatres	6
Is the weather going to be colder in GU in 11 years 	2
Where can I watch the trailer for Home Economics	5
add artist brenda k starr to frescura indie	0
The Voyage of the Dawn Treader deserves 5 points.	4
Look for the novel Behind closed doors	5
Will it be warmer in Minidoka OK on good friday?	2
This current book deserves 1 points	4
I want more francis healy in the Rockin' Vibes playlist. 	0
show me the schedule of Outlaw of Gor at nearest movie house at 5 A.M.	6
Please help me search the TV series A Mouse Divided.	5
Add another song to the Cita Romántica playlist. 	0
I want to hear some psychedelic rock	3
Will it be foggy here?	2
Play some eighties movement music	3
I want to watch The Original Recordings	5
find Phinally Phamous	5
show movie times now	6
Add the fire and the wind to my Digster Future Hits playlist.	0
I need a reservation for a restaurant that serves cupcakes in OH	1
Play the newest music by Gladys Knight	3
find Journal of the Society for American Music	5
rate the book The Devil in Velvet 4 out of 6 points	4
using stars the current object gets four for the textbook out of 6	4
I need a reservation for The Berghoff in Jamaica in 18 seconds	1
Find Ek Boond Ishq.	5
Play some music by Mutlu	3
show creativity of Accident Analysis & Prevention	5
Rate The Philosophic Thought of Ayn Rand three of 6 stars	4
I need to book a table at a bar in Micronesia for tia, madeline and estela	1
Where do I play the video game The Wild Geese?	5
Find Resurrection of Evil.	5
this horrible essay gets zero out of 6 stars	4
Show me KurdishMedia.com	5
book a highly rated bar in Burkina for georgia and I	1
When is Twentynine Palms playing at Plitt Theatres?	6
play a new soundtrack by Benjamin Darvill on Groove Shark	3
Need book a restaurant for this Autumn in Illinois	1
Add Rattus at the Roundhouse to my funk playlist.	0
Let me know what animated movies are playing around here.	6
rate the current chronicle series 4 out of 6 points	4
Play me a 1957 ep	3
What's the forecast for Little Silver	2
rate the book A Girl, a Man, and a River a five	4
Find the American Journal of Sports Medicine picture	5
What animated movies are playing nearby right now?	6
Find Stays in Mexico.	5
Put this track from The Edge on my funk soul disco playlist	0
Play some psychadelic music.	3
add the artist to my indietronic playlist	0
Please look up Two More Years soundtrack.	5
Tell me the weather forecast for France	2
