expression;language
is upset that he cant update his Facebook by texting it... might cry as a result  School today also. Blah!;en
I dived many times for the ball. Managed to save 50%  The rest go out of bounds;en
my whole body feels itchy and like its on fire ;en
no, its not behaving at all. im mad. why am i here? because I can't see you all over there. ;en
hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?;en
nope they didnt have it ;en
It it counts, idk why I did either. you never talk to me anymore ;en
Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?;en
ahh ive always wanted to see rent  love the soundtrack!!;en
I baked u a cake but I ated it ;en
im sad now  Miss.Lilly;en
ooooh.... LOL  that leslie.... and ok I won't do it again so leslie won't  get mad again ;en
some1 hacked my account on aim  now i hav to make a new one;en
I want to go to promote GEAR AND GROOVE but unfornately no ride there  I may b going to the one in Anaheim in May though;en
thought sleeping in was an option tomorrow but realizing that it now is not. evaluations in the morning and work in the afternoon! ;en
awe i love you too!!!! 1 am here  i miss you;en
ill tell ya the story later  not a good day and ill be workin for like three more hours...;en
really don't feel like getting up today... but got to study to for tomorrows practical exam... ;en
Awww I soo wish I was there to see you finally comfortable! Im sad that I missed it ;en
Put vacation photos online a few yrs ago. PC crashed, and now I forget the name of the site. ;en
Not sure what they are! As much as I want to, I dont think can trade away company assets sorry andy! ;en
Where did u move to?  I thought u were already in sd. ?? Hmmm. Random u found me. Glad to hear yer doing well.;en
I miss my ps3, it's out of commission  Wutcha playing? Have you copped 'Blood On The Sand'?;en
just leaving the parking lot of work! ;en
too bad I won't be around I lost my job and can't even pay my phone bill lmao aw shucks ;en
Mo jobs, no money.  how in the hell is min wage here 4 f'n clams an hour?;en
Oh! Haha... dude I dont really look at em unless someone says HEY I ADDED YOU. Sorry  I'm so terrible at that. I need a pop up!;en
wonders why someone that u like so much can make you so unhappy in a split seccond . depressed . ;en
just got ur newsletter, those fares really are unbelievable, shame I already booked and paid for mine ;en
hey missed ya at the meeting  sup mama;en
wednesday my b-day! don't know what 2 do!! ;en
hmm  , do u really enjoy being with him ? if the problems are too constants u should think things more , find someone ulike;en
so rylee,grace...wana go steve's party or not?? SADLY SINCE ITS EASTER I WNT B ABLE 2 DO MUCH  BUT OHH WELL.....;en
A bad nite for the favorite teams: Astros and Spartans lose.  The nite out with T.W. was good.;en
cool, i will. their are all kinds of complaints about this laptop online bout overheating, but no recalls ;en
hope your ok.;en
yeah aw but i know i wudnt stand a chance ;en
ugh. cant sleep. its 1:30am. ;en
"aaw i miss ya all too.. im leaving to BH tomorrow 'morning'; i think.. aww i wanna go to the beach w u girls!! ";en
Im missing you babe..  but as long as ur alive I'm happy.. Yawwwnn.. im tired my love imma try to sleep hopefully u had a headstart;en
No phantasy star yesterday  going to work...;en
I had on my page for sooooo long!!! Until it got deleted  Sad day in history;en
Grrr.. my ipods acting weird to! Jai ho and thinking of you arent playing the full songs.. ughh. ;en
danny im upset that i wasnt here to watch the live chat  i was in a car. for 3 hours on a trip im soooo upset!!;en
is watching the hill . . .and its making me sad ;en
I miss my buddy ill be in NY on the 25th;en
wanttss to go out ;en
Is not going to sleep tonite. ;en
i think ur right!! hahaha!! 4.5 hrs now!! ;en
I'm goin' to follow u, since u didn't  LOL  GO ANGELS!;en
